uid,local_model_dir,commit,commit_date,eval_date,params,accuracy,evaluate,pareto,reward,vali_evaluated,hf_account,flops,score
174,/root/mainnet/NASChain/cache/models--papagruz2--naschain/snapshots/b48df96f6b6c13dcbd550d6b0fead4f5ff4cbdea/model.pt,b48df96f6b6c13dcbd550d6b0fead4f5ff4cbdea,2024-07-15 16:23:52+00:00,2024-07-22 15:20:21,48000.0,86.0,True,False,False,False,papagruz2/naschain,48.0,0.0
182,/root/NASChain/cache/models--impossibleexchange--nas4/snapshots/f3541edf994b4217dc6d58683a3784db182c2c12/model.pt,f3541edf994b4217dc6d58683a3784db182c2c12,2024-08-03 17:51:28+00:00,2024-08-03 21:46:40,1071000.0,82.0,True,False,False,False,impossibleexchange/nas4,13.0,0.0
188,/root/NASChain/cache/models--impossibleexchange--nas5/snapshots/281a20809f3a46ca1c88594c11bc101cc7a69bd1/model.pt,281a20809f3a46ca1c88594c11bc101cc7a69bd1,2024-08-03 17:58:40+00:00,2024-08-03 21:46:42,1071000.0,82.0,True,False,False,False,impossibleexchange/nas5,13.0,0.0
190,/root/mainnet/NASChain/cache/models--papagruz11--naschain/snapshots/5efdb716c8f4aea05085a148067e11bef34c2698/model.pt,5efdb716c8f4aea05085a148067e11bef34c2698,2024-07-15 09:16:22+00:00,2024-07-22 15:20:46,1169000.0,93.0,True,False,False,True,papagruz11/naschain,634.0,0.0
211,/root/mainnet/NASChain/cache/models--papagruz--naschain/snapshots/86b56566d5c11e7daa732f9554fd6a820ff91d02/model.pt,86b56566d5c11e7daa732f9554fd6a820ff91d02,2024-07-15 16:23:49+00:00,2024-07-22 15:21:25,48000.0,86.0,True,False,False,False,papagruz/naschain,48.0,0.0
212,/root/mainnet/NASChain/cache/models--Gibbler--naschain/snapshots/b62da53fb8b2fb311e9cd8fa080a3cc55e8c23f6/model.pt,b62da53fb8b2fb311e9cd8fa080a3cc55e8c23f6,2024-07-19 12:58:38+00:00,2024-07-22 15:21:29,29000.0,84.0,True,False,False,True,Gibbler/naschain,17.0,0.0
223,/root/mainnet/NASChain/cache/models--otis06081996--naschainv223/snapshots/ac714af783c23365c6c9a6eb0814ac9a8d9f43c4/model.pt,ac714af783c23365c6c9a6eb0814ac9a8d9f43c4,2024-07-21 18:50:24+00:00,2024-07-22 15:21:45,35000.0,86.0,True,False,False,True,otis06081996/naschainv223,26.0,0.0
226,/root/NASChain/cache/models--hungkvbn--226hk4v1/snapshots/1ee59bd10777628a1a3b53cc5eaf99b7c7b48455/model.pt,1ee59bd10777628a1a3b53cc5eaf99b7c7b48455,2024-08-08 03:28:00+00:00,2024-08-08 05:03:59,111000.0,87.0,True,False,False,True,hungkvbn/226hk4v1,27.0,0.0
248,/root/NASChain/cache/models--NASJesus--naschain_3/snapshots/4fa5bd20bc8cd2199632225b066172d9dd6bc910/model.pt,4fa5bd20bc8cd2199632225b066172d9dd6bc910,2024-08-06 05:44:57+00:00,2024-08-06 06:29:49,143000.0,90.0,True,True,True,True,NASJesus/naschain_3,46.0,0.035730454027458516
8,/root/NASChain/cache/models--hungkvbn--8hk2/snapshots/4da2ae39f2f69f7934d974566147704fc31dbe7b/model.pt,4da2ae39f2f69f7934d974566147704fc31dbe7b,2024-08-06 15:00:40+00:00,2024-08-06 15:23:49,15000.0,82.0,True,True,True,True,hungkvbn/8hk2,10.0,0.02116112521417461
16,/root/mainnet/NASChain/cache/models--papagruz4--naschain/snapshots/e4f1f6a49d6471670d9c0a9ebc0446952a89169f/model.pt,e4f1f6a49d6471670d9c0a9ebc0446952a89169f,2024-07-15 09:00:12+00:00,2024-07-22 22:55:53,27000.0,84.0,True,True,True,True,papagruz4/naschain,8.0,0.02437786157139398
23,/root/mainnet/NASChain/cache/models--papagruz6--naschain/snapshots/ff15606400d16314aabaee25015d9b47e9d3c8e6/model.pt,ff15606400d16314aabaee25015d9b47e9d3c8e6,2024-07-15 09:09:14+00:00,2024-07-22 22:56:11,650000.0,93.0,True,False,False,False,papagruz6/naschain,407.0,0.0
32,/root/NASChain/cache/models--impossibleexchange--nas2/snapshots/5d910b98ad47c6676d015ec8c2f0bd1d6e0bf7d1/model.pt,5d910b98ad47c6676d015ec8c2f0bd1d6e0bf7d1,2024-08-03 17:10:14+00:00,2024-08-03 21:45:24,1071000.0,78.0,True,False,False,False,impossibleexchange/nas2,13.0,0.0
38,/root/mainnet/NASChain/cache/models--clinton07021996--naschainv38/snapshots/29d7a1e0647ce833ad44afd311fd886cd601cca7/model.pt,29d7a1e0647ce833ad44afd311fd886cd601cca7,2024-07-26 15:35:54+00:00,2024-07-28 02:11:50,38000.0,87.0,True,False,False,True,clinton07021996/naschainv38,27.0,0.0
39,/root/NASChain/cache/models--net31--naschainv39/snapshots/171f6a81c387707bb79374386f6b7f5424ed1060/model.pt,171f6a81c387707bb79374386f6b7f5424ed1060,2024-08-07 02:25:32+00:00,2024-08-07 02:50:08,24000.0,81.0,True,True,True,True,net31/naschainv39,6.0,0.019710963592460603
42,/root/NASChain/cache/models--net31--naschainv42/snapshots/c928791fd76062dee09df1cbc7a080c8f5570056/model.pt,c928791fd76062dee09df1cbc7a080c8f5570056,2024-08-09 16:48:29+00:00,2024-08-09 16:49:56,21000.0,81.0,True,False,False,False,net31/naschainv42,11.0,0.0
50,/root/mainnet/NASChain/cache/models--farleychen--naschain/snapshots/1fbf97246bef7f04ad91786cf60b651ae8443270/model.pt,1fbf97246bef7f04ad91786cf60b651ae8443270,2024-06-28 18:20:09+00:00,2024-07-22 22:57:15,1071000.0,81.0,True,False,False,False,farleychen/naschain,13.0,0.0
55,/root/NASChain/cache/models--emphity4--naschain/snapshots/b421d690ba97b2c28f411368d314be40aa25ba96/model.pt,b421d690ba97b2c28f411368d314be40aa25ba96,2024-08-11 00:14:35+00:00,2024-08-11 01:59:42,13000.0,81.0,True,False,False,True,emphity4/naschain,12.0,0.0
58,/root/NASChain/cache/models--veronica08041991--naschainv58/snapshots/0a9085c9cbf63b5375e2114a97859259762cf391/model.pt,0a9085c9cbf63b5375e2114a97859259762cf391,2024-08-01 23:31:01+00:00,2024-08-01 23:31:26,15000.0,82.0,True,False,False,True,veronica08041991/naschainv58,11.0,0.0
254,/root/NASChain/cache/models--NASJesus--naschain/snapshots/12c42b60790ce9c21bad757f3c1dd7fbbe05bb42/model.pt,12c42b60790ce9c21bad757f3c1dd7fbbe05bb42,2024-08-10 17:20:28+00:00,2024-08-10 17:23:43,791000.0,93.0,True,True,True,True,NASJesus/naschain,283.0,0.0337047590063212
205,/root/mainnet/NASChain/cache/models--sontq--naschain/snapshots/c98b3972ed6c916a314410f7265670ea9e8ee8bb/model.pt,c98b3972ed6c916a314410f7265670ea9e8ee8bb,2024-07-13 18:03:11+00:00,2024-07-29 05:46:02,601000.0,88.0,True,False,False,False,sontq/naschain,90.0,0.0
244,/root/NASChain/cache/models--khanhnn55--naschainv13/snapshots/d7e483b2b685a7d93ac82b6ae8418a4ad9bb6b2e/model.pt,d7e483b2b685a7d93ac82b6ae8418a4ad9bb6b2e,2024-08-06 17:17:13+00:00,2024-08-06 17:24:12,31000.0,86.0,True,True,True,True,khanhnn55/naschainv13,18.0,0.027935642598829087
128,/root/NASChain/cache/models--hungkvbn--128hk6v1/snapshots/3757d7bf316a99f1f55fadc2488cf669a958e663/model.pt,3757d7bf316a99f1f55fadc2488cf669a958e663,2024-08-02 08:38:25+00:00,2024-08-02 08:40:34,166000.0,91.0,True,True,True,True,hungkvbn/128hk6v1,108.0,0.036844526374830766
246,/root/NASChain/cache/models--khanhnn55--naschainv15/snapshots/91f9966b22e367ad10d0c464615740daaf0b4051/model.pt,91f9966b22e367ad10d0c464615740daaf0b4051,2024-08-06 12:49:27+00:00,2024-08-06 15:27:58,599000.0,93.0,True,True,True,True,khanhnn55/naschainv15,436.0,0.03210767283256162
241,/root/NASChain/cache/models--pruning--nxb27ue/snapshots/3cd7325fa1fe6ad632b586c6b8d1b339263708e2/model.pt,3cd7325fa1fe6ad632b586c6b8d1b339263708e2,2024-08-01 19:56:42+00:00,2024-08-01 19:57:47,12000.0,80.0,True,False,False,True,pruning/nxb27ue,10.0,0.0
194,/root/NASChain/cache/models--bazooka-gh--bazooka4v1/snapshots/87928669f84d0bcca163612feddd013ce6ac2637/model.pt,87928669f84d0bcca163612feddd013ce6ac2637,2024-08-02 18:49:16+00:00,2024-08-02 20:11:08,88000.0,89.0,True,False,False,True,bazooka-gh/bazooka4v1,56.0,0.0
227,/root/NASChain/cache/models--bazooka-gh--bazooka2v2/snapshots/3b8f73e6ea6dd0bd410e1e7a3ff425912e3c81f1/model.pt,3b8f73e6ea6dd0bd410e1e7a3ff425912e3c81f1,2024-08-02 18:24:48+00:00,2024-08-02 18:38:13,72000.0,88.0,True,False,False,False,bazooka-gh/bazooka2v2,53.0,0.0
222,/root/NASChain/cache/models--clinton07021996--naschainv222/snapshots/b6486d383af351df92f206b86113165cb4bbebce/model.pt,b6486d383af351df92f206b86113165cb4bbebce,2024-08-08 17:39:06+00:00,2024-08-08 17:55:22,602000.0,92.0,True,False,False,True,clinton07021996/naschainv222,387.0,0.0
127,/root/NASChain/cache/models--khanhnn55--naschainv6/snapshots/a188536d993bd66f07fcd8c63589634a78ddf54f/model.pt,a188536d993bd66f07fcd8c63589634a78ddf54f,2024-08-06 22:34:10+00:00,2024-08-07 01:49:48,27000.0,85.0,True,True,True,True,khanhnn55/naschainv6,20.0,0.026001428736441172
247,/root/NASChain/cache/models--khanhnn55--naschainv14/snapshots/c2808d37ca17379621a013f04dab7113ac54021b/model.pt,c2808d37ca17379621a013f04dab7113ac54021b,2024-08-02 19:39:43+00:00,2024-08-02 20:11:41,105000.0,90.0,True,True,True,True,khanhnn55/naschainv14,60.0,0.035724211321880965
239,/root/NASChain/cache/models--khanhnn55--naschainv16/snapshots/c202f0dc76041ef13acece03b6749c5f8da5301b/model.pt,c202f0dc76041ef13acece03b6749c5f8da5301b,2024-08-11 13:47:37+00:00,2024-08-11 14:52:25,136000.0,91.0,True,True,True,True,khanhnn55/naschainv16,111.0,0.03701171969261534
