uid,local_model_dir,commit,commit_date,eval_date,params,accuracy,evaluate,pareto,reward,vali_evaluated,hf_account,flops,score
0,/root/NASChain/cache/models--veronica08041991--naschainv0/snapshots/d1ba1081e200f7fc689ca99f1c9c44967200571e/model.pt,d1ba1081e200f7fc689ca99f1c9c44967200571e,2024-08-09 13:22:49+00:00,2024-08-09 17:50:07,120000.0,85.0,True,False,False,False,veronica08041991/naschainv0,17.0,0.0
156,/root/NASChain/cache/models--novak5--naschain/snapshots/5fd2b93a9cad3b7dc231cf6bd03e3a344ad3f129/model.pt,5fd2b93a9cad3b7dc231cf6bd03e3a344ad3f129,2024-08-10 18:23:19+00:00,2024-08-10 19:24:40,15000.0,82.0,True,False,False,True,novak5/naschain,10.0,0.0
231,/root/NASChain/cache/models--mimir5--naschain/snapshots/d4def34f0a0440515661b2356a626d35a04540e4/model.pt,d4def34f0a0440515661b2356a626d35a04540e4,2024-08-12 18:22:06+00:00,2024-08-12 18:29:40,1213000.0,77.0,True,False,False,False,mimir5/naschain,7.0,0.0
56,/root/NASChain/cache/models--emphity1--naschain/snapshots/4ed710daf6967bc4c7747c7f0ae5da84926a9473/model.pt,4ed710daf6967bc4c7747c7f0ae5da84926a9473,2024-08-10 21:09:03+00:00,2024-08-10 21:22:03,13000.0,68.0,True,False,False,False,emphity1/naschain,12.0,0.0
63,/root/NASChain/cache/models--emphity2--naschain/snapshots/01cb23393615762a1eac889450ae2cf5bfc4b178/model.pt,01cb23393615762a1eac889450ae2cf5bfc4b178,2024-08-10 21:26:14+00:00,2024-08-10 22:20:51,13000.0,81.0,True,False,False,True,emphity2/naschain,12.0,0.0
70,/root/NASChain/cache/models--khanhnn55--naschainv10/snapshots/efda8ecc32dd3783394e76a83953085f8914e306/model.pt,efda8ecc32dd3783394e76a83953085f8914e306,2024-08-11 11:05:48+00:00,2024-08-11 11:11:38,1209000.0,94.0,True,True,True,True,khanhnn55/naschainv10,864.0,0.02369228752017516
35,/root/NASChain/cache/models--khanhnn55--naschainv9/snapshots/823178072310a669b8933adb86c140bd12d265b3/model.pt,823178072310a669b8933adb86c140bd12d265b3,2024-08-12 03:11:43+00:00,2024-08-12 03:30:33,79000.0,89.0,True,True,True,True,khanhnn55/naschainv9,42.0,0.03379318162322083
252,/root/NASChain/cache/models--khanhnn55--naschainv11/snapshots/2d1ee496e64978c760cfec4f19ac86341506eb1d/model.pt,2d1ee496e64978c760cfec4f19ac86341506eb1d,2024-08-12 03:29:58+00:00,2024-08-12 03:45:15,253000.0,92.0,True,True,True,True,khanhnn55/naschainv11,163.0,0.037641216359424245
84,/root/NASChain/cache/models--otis06081996--naschainv84/snapshots/26f7f2c0bc20c0f9b81002172d0950a3daa818ad/model.pt,26f7f2c0bc20c0f9b81002172d0950a3daa818ad,2024-07-20 04:58:11+00:00,2024-08-11 20:55:34,18000.0,83.0,True,False,False,False,otis06081996/naschainv84,17.0,0.0
17,/root/NASChain/cache/models--novak7--naschain/snapshots/2c8a7af914a0a6b65dbefe6eeeee79ac5ec814f1/model.pt,2c8a7af914a0a6b65dbefe6eeeee79ac5ec814f1,2024-08-12 10:22:25+00:00,2024-08-12 10:27:41,603000.0,91.0,True,False,False,False,novak7/naschain,383.0,0.0
215,/root/NASChain/cache/models--mimir2--naschain/snapshots/d36faeff29a82e1a439998ccd8ab67ee4fa9c192/model.pt,d36faeff29a82e1a439998ccd8ab67ee4fa9c192,2024-08-13 00:29:59+00:00,2024-08-13 00:35:21,272000.0,88.0,True,False,False,False,mimir2/naschain,82.0,0.0
21,/root/NASChain/cache/models--mimir1--naschain/snapshots/97341a096084153cb7c3dcd566fba5adc9bed4c6/model.pt,97341a096084153cb7c3dcd566fba5adc9bed4c6,2024-08-13 00:11:09+00:00,2024-08-13 00:22:14,272000.0,89.0,True,False,False,False,mimir1/naschain,82.0,0.0
115,/root/NASChain/cache/models--veronica08041991--naschainv115/snapshots/f18f442486459191154824045b7ece31db8a4b15/model.pt,f18f442486459191154824045b7ece31db8a4b15,2024-08-12 03:00:04+00:00,2024-08-13 01:33:35,34000.0,84.0,True,True,True,True,veronica08041991/naschainv115,7.0,0.02435635482126668
